name,body,brain,order
Mountain_beaver,1.35,8.1,Rodentia
Cow,465,423,Artiodactyla
Grey_wolf,36.33,119.5,Carnivora
Goat,27.66,115,Artiodactyla
Guinea_pig,1.04,5.5,Rodentia
Dipliodocus,11700,50,Dinosauria
Asian_elephant,2547,4603,Proboscidea
Donkey,187.1,419,Perissodactyla
Horse,521,655,Perissodactyla
Potar_monkey,10,115,Primates
Cat,3.3,25.6,Carnivora
Giraffe,529,680,Perissodactyla
Gorilla,207,406,Primates
Human,62,1320,Primates
African_elephant,6654,5712,Proboscidea
Triceratops,9400,70,Dinosauria
Rhesus_monkey,6.8,179,Primates
Kangaroo,35,56,Diprotodontia
Golden_hamster,0.12,1,Rodentia
Mouse,0.023,0.4,Rodentia
Rabbit,2.5,12.1,Rodentia
Sheep,55.5,175,Artiodactyla
Jaguar,100,157,Carnivora
Chimpanzee,52.16,440,Primates
Rat,0.28,1.9,Rodentia
Brachiosaurus,87000,154.5,Dinosauria
Mole,0.122,3,Eulipotyphla
Pig,192,180,Artiodactyla